x,y,z_top,z_bot,Sxx_jump,Syy_jump,Szz_jump,Sxy_jump,Syz_jump,Sxz_jump,tx_jump,ty_jump,tz_jump,tmag_jump
-0.45,-0.45,0.21223155036568642,0.062359513714909554,0.0051525934,0.0019836612,0.0015996576,-1.1111515e-05,-0.0005063616,0.01367747,0.01367747038602829,-0.0005063615972176194,0.0015996575821191072,0.013780003723070932
-0.45,-0.35000001,0.21191558800637722,0.059677665354683995,0.00487521,0.0017545674,0.00090313173,-3.2162447e-05,-0.00013142305,0.01299633,0.012996329925954342,-0.0001314230466959998,0.0009031317313201725,0.013028334908405471
-0.45,-0.25000001,0.21159962937235832,0.05699581676162779,0.0048210258,0.0017148578,0.00085920456,-1.96636e-05,-8.451483e-05,0.012808287,0.01280828658491373,-8.451483154203743e-05,0.0008592045633122325,0.012837350991526568
-0.45,-0.15,0.21128366887569427,0.05431396886706352,0.004781366,0.0016880236,0.0008258051,-8.934694e-06,-4.067617e-05,0.012695141,0.01269514113664627,-4.06761682825163e-05,0.0008258051238954067,0.012722036673924754
-0.45,-0.05,0.21096770465373993,0.051632120506837964,0.0047657085,0.0016790727,0.0008169085,-2.6517791e-06,-1.27233125e-05,0.012647052,0.012647052295506,-1.2723312465823255e-05,0.0008169084903784096,0.012673414422703774
-0.45,0.05,0.21065174229443073,0.048950272030197084,0.0047657085,0.0016790727,0.0008169085,2.6517791e-06,1.27233125e-05,0.012647052,0.012647052295506,1.2723312465823255e-05,0.0008169084903784096,0.012673414422703774
-0.45,0.15,0.21033577993512154,0.04626842381549068,0.004781366,0.0016880236,0.0008258051,8.934694e-06,4.067617e-05,0.012695141,0.01269514113664627,4.06761682825163e-05,0.0008258051238954067,0.012722036673924754
-0.45,0.25000001,0.2100198157131672,0.04358657528064214,0.0048210258,0.0017148578,0.00085920456,1.96636e-05,8.451483e-05,0.012808287,0.01280828658491373,8.451483154203743e-05,0.0008592045633122325,0.012837350991526568
-0.45,0.35000001,0.209703853353858,0.04090472694952041,0.00487521,0.0017545674,0.00090313173,3.2162447e-05,0.00013142305,0.01299633,0.012996329925954342,0.0001314230466959998,0.0009031317313201725,0.013028334908405471
-0.45,0.45,0.20938789285719395,0.038222878880333155,0.0051525934,0.0019836612,0.0015996576,1.1111515e-05,0.0005063616,0.01367747,0.01367747038602829,0.0005063615972176194,0.0015996575821191072,0.013780003723070932
-0.35000001,-0.45,0.19451601058244705,0.046038169879466295,0.0039470815,0.0012942057,0.0006963243,1.7604267e-05,-0.0010472441,0.008963785,0.008963785134255886,-0.0010472440626472235,0.0006963242776691914,0.009051576191997071
